sku,product_name,regular_price,stock_quantity,stock_status,product_type,product_status,product_categories,tags,weight,length_mm,width_mm,height_mm,_acf_power_watts,_acf_cc_cv_type,_acf_dimming_type,_acf_output_current_ma,_acf_ip_protection,_acf_series_type,_acf_manufacturer_brand,_acf_manufacturer_part_number,_acf_dimensions_length_mm,_acf_dimensions_width_mm,_acf_dimensions_height_mm,_acf_dimension_category,_acf_input_voltage
1222060601,LED Converter HDL 60W 24V DALI dimmbar IP67,53.0,24,instock,simple,publish,LED Treiber,CONVERTER V,,155,42,28,60,cv,dali,,IP67,other,KAV,HDL-CV-60,155,42,28,medium,220_240v_ac
1222060602,LED Converter LDM60S DALI dimmbar IP67,102.0,1,instock,simple,publish,LED Treiber,CONVERTER V,,207,40,28,,,dali,,IP67,other,Simpex,LDM60S,207,40,28,medium,220_240v_ac
1222060603,LED Converter 60W 24V PWM DALI | TOUCHDIM | IP67,99.0,0,outofstock,simple,publish,LED Treiber,CONVERTER V ALLEGRA SWISS ISOLED,,290,30,21,60,cv,dali|touchdim,,IP67,other,K00043,114942,290,30,21,large,220_240v_ac
1222060604,LED Converter 60W 24V XLN DALI | TOUCHDIM | IP67,51.0,0,outofstock,simple,publish,LED Treiber,CONVERTER V,,141,49,32,60,cv,dali|touchdim,,IP67,other,Simpex,XLN-60-24-DA2,141,49,32,medium,220_240v_ac
1222075600,LED Converter ELG-75-24DA DALI dimmbar IP67,50.0,1,instock,simple,publish,LED Treiber,CONVERTER V,,180,63,35.5,,,dali,,IP67,other,Simpex,ELG-75-24DA-3Y,180,63,35.5,medium,220_240v_ac
1222090600,LED Converter PWM-90-24DA DALI dimmbar IP67,77.0,0,outofstock,simple,publish,LED Treiber,CONVERTER V,,171,63,37.5,,,dali,,IP67,other,Simpex,PWM-90-24DA2,171,63,37.5,medium,220_240v_ac
1222100200,LED Converter LC 100W 24V one4all NF SC EXC2,79.0,16,instock,simple,publish,LED Treiber,CONVERTER V SIMPEX,,295,43,30,100,cv,one4all,,,lc,Tridonic,28004432,295,43,30,large,220_240v_ac
1222100201,LED Converter LCA 100W 24V one4all Ip PRE,79.0,64,instock,simple,publish,LED Treiber,CONVERTER V TRIDONIC,,425,30,21,100,cv,one4all,,,lca,Tridonic,28001436,425,30,21,large,220_240v_ac
1222100202,LED Converter MS 100W 24V DALI,60.0,0,outofstock,simple,publish,LED Treiber,CONVERTER V SIMPEX,,425,30,21,100,cv,dali,,,other,Simpex,MS-100-24-DALI2-LI,425,30,21,large,220_240v_ac
1222100600,LED Converter ELG-100-24DA DALI dimmbar IP67,53.0,0,outofstock,simple,publish,LED Treiber,CONVERTER V,,199,63,35.5,,,dali,,IP67,other,Simpex,ELG-100-24DA-3Y,199,63,35.5,medium,220_240v_ac
1222150200,LED Converter LCA 150W 24V one4all SC PRE,106.0,39,instock,simple,publish,LED Treiber,CONVERTER V TRIDONIC,,325,43,29.8,150,cv,one4all,,,lca,Tridonic,28001923,325,43,29.8,large,220_240v_ac
